,ProjectID,Framefile,Nfish,Sex,Box,CorrectAnnotation,User,DateTime,Dataset
0,CV10_3,CV10_3_0001_vid_102765.jpg,2,f,"(1, 300, 119, 216)",Yes,rhiyasharma,15:46.8,Train
1,CV10_3,CV10_3_0001_vid_102765.jpg,2,f,"(114, 205, 141, 156)",Yes,rhiyasharma,15:46.8,Train
4,CV10_3,CV10_3_0001_vid_106318.jpg,2,m,"(501, 510, 54, 238)",Yes,rhiyasharma,06:01.9,Train
5,CV10_3,CV10_3_0001_vid_106318.jpg,2,f,"(123, 246, 62, 214)",Yes,rhiyasharma,06:01.9,Train
8,CV10_3,CV10_3_0001_vid_107792.jpg,2,f,"(452, 427, 186, 196)",Yes,rhiyasharma,06:01.9,Train
9,CV10_3,CV10_3_0001_vid_107792.jpg,2,m,"(589, 765, 162, 189)",Yes,rhiyasharma,06:01.9,Train
12,CV10_3,CV10_3_0001_vid_122936.jpg,2,m,"(659, 652, 68, 228)",Yes,rhiyasharma,04:03.1,Train
13,CV10_3,CV10_3_0001_vid_122936.jpg,2,f,"(38, 242, 59, 237)",Yes,rhiyasharma,04:03.1,Train
16,CV10_3,CV10_3_0001_vid_12656.jpg,0,,,Yes,rhiyasharma,39:27.5,Train
18,CV10_3,CV10_3_0001_vid_127541.jpg,3,m,"(463, 0, 108, 171)",Yes,rhiyasharma,16:35.9,Train
19,CV10_3,CV10_3_0001_vid_127541.jpg,3,f,"(152, 346, 177, 116)",Yes,rhiyasharma,16:35.9,Train
20,CV10_3,CV10_3_0001_vid_127541.jpg,3,f,"(12, 314, 71, 226)",Yes,rhiyasharma,16:35.9,Train
24,CV10_3,CV10_3_0001_vid_131835.jpg,3,f,"(119, 454, 205, 58)",Yes,rhiyasharma,15:46.8,Train
25,CV10_3,CV10_3_0001_vid_131835.jpg,3,m,"(582, 923, 250, 47)",Yes,rhiyasharma,15:46.8,Train
26,CV10_3,CV10_3_0001_vid_131835.jpg,3,f,"(75, 475, 80, 156)",Yes,rhiyasharma,15:46.8,Train
30,CV10_3,CV10_3_0001_vid_132743.jpg,3,f,"(559, 770, 47, 200)",Yes,rhiyasharma,16:35.9,Train
31,CV10_3,CV10_3_0001_vid_132743.jpg,3,f,"(869, 177, 180, 175)",Yes,rhiyasharma,16:35.9,Train
32,CV10_3,CV10_3_0001_vid_132743.jpg,3,f,"(551, 337, 251, 62)",Yes,rhiyasharma,16:35.9,Train
36,CV10_3,CV10_3_0001_vid_138313.jpg,1,m,"(612, 702, 99, 217)",Yes,rhiyasharma,15:46.8,Train
38,CV10_3,CV10_3_0001_vid_148139.jpg,1,m,"(927, 824, 189, 107)",Yes,rhiyasharma,39:27.5,Train
40,CV10_3,CV10_3_0001_vid_148157.jpg,1,m,"(935, 808, 202, 119)",Yes,rhiyasharma,04:03.1,Validate
42,CV10_3,CV10_3_0001_vid_158880.jpg,1,m,"(100, 542, 161, 170)",Yes,rhiyasharma,15:46.8,Train
44,CV10_3,CV10_3_0001_vid_159874.jpg,2,f,"(158, 819, 148, 151)",Yes,rhiyasharma,16:35.9,Validate
45,CV10_3,CV10_3_0001_vid_159874.jpg,2,m,"(1016, 576, 45, 226)",Yes,rhiyasharma,16:35.9,Validate
48,CV10_3,CV10_3_0001_vid_169508.jpg,1,m,"(785, 398, 73, 211)",Yes,rhiyasharma,04:03.1,Train
51,CV10_3,CV10_3_0001_vid_177846.jpg,1,m,"(571, 91, 105, 207)",Yes,rhiyasharma,16:35.9,Train
53,CV10_3,CV10_3_0001_vid_18034.jpg,2,u,"(1070, 0, 89, 144)",Yes,rhiyasharma,15:46.8,Train
54,CV10_3,CV10_3_0001_vid_18034.jpg,2,f,"(87, 484, 35, 163)",Yes,rhiyasharma,15:46.8,Train
57,CV10_3,CV10_3_0001_vid_182840.jpg,1,m,"(292, 227, 142, 171)",Yes,rhiyasharma,15:46.8,Train
59,CV10_3,CV10_3_0001_vid_187416.jpg,3,m,"(1102, 591, 44, 226)",Yes,rhiyasharma,06:01.9,Train
60,CV10_3,CV10_3_0001_vid_187416.jpg,3,f,"(0, 865, 210, 93)",Yes,rhiyasharma,06:01.9,Train
61,CV10_3,CV10_3_0001_vid_187416.jpg,3,f,"(8, 295, 52, 185)",Yes,rhiyasharma,06:01.9,Train
65,CV10_3,CV10_3_0001_vid_19293.jpg,1,m,"(788, 537, 166, 131)",Yes,rhiyasharma,39:27.5,Validate
69,CV10_3,CV10_3_0001_vid_193436.jpg,3,u,"(0, 615, 62, 97)",Yes,priya,02:12.8,Train
70,CV10_3,CV10_3_0001_vid_193436.jpg,3,u,"(358, 955, 253, 15)",Yes,priya,02:12.8,Train
71,CV10_3,CV10_3_0001_vid_193436.jpg,3,f,"(69, 123, 44, 221)",Yes,priya,02:12.8,Train
